image_path,calligrapher,script,character,calligrapher_id,script_id,character_id
final_images/235458.png,王羲之,行,一,26,7,4682
final_images/235597.png,王循,行,七,1634,7,4063
final_images/235606.png,碑刻,隶,七,97,6,4063
final_images/235736.png,释怀仁集王羲之,行,三,55,7,241
final_images/235950.png,others,隶,下,10,6,3550
final_images/236649.png,柳公权,楷,丘,145,3,6063
final_images/236792.png,others,隶,丞,10,6,3491
final_images/237610.png,王献之,草,之,86,9,5233
final_images/237686.png,米芾,行,乍,42,7,3510
final_images/238332.png,碑刻,楷,乳,97,3,506
final_images/238486.png,others,楷,事,10,3,4975
final_images/238827.png,三体石经,篆,于,87,0,5804
final_images/238902.png,古文四声韵,篆,云,4,0,3186
final_images/239099.png,李隆基,隶,五,259,6,5981
final_images/239209.png,说文解字,篆,亙,23,0,1576
final_images/239590.png,赵孟坚,行,亦,240,7,2441
final_images/239844.png,others,楷,人,10,3,2993
final_images/240029.png,宋克,行,人,183,7,2993
final_images/240067.png,others,隶,人,10,6,2993
final_images/240670.png,崔瑗,行,以,543,7,2678
final_images/240772.png,李阳冰,篆,任,46,0,4504
final_images/240776.png,李斯,篆,任,119,0,4504
final_images/240874.png,篆刻,篆,伍,158,0,3380
final_images/241269.png,古文四声韵,篆,佐,4,0,2499
final_images/241634.png,怀素,草,使,64,9,2189
final_images/241666.png,篆刻,篆,侃,158,0,3710
final_images/241730.png,欧阳询,行,來,142,7,7237
final_images/241742.png,others,隶,來,10,6,7237
final_images/241947.png,赵孟𫖯,草,侯,75,9,3921
final_images/242022.png,颜真卿,楷,便,77,3,6950
final_images/242163.png,赵孟𫖯,楷,俛,75,3,6391
final_images/242666.png,唐,楷,偃,165,3,3336
final_images/242677.png,米芾,行,偃,42,7,3336
final_images/242696.png,篆刻,篆,假,158,0,6233
final_images/242710.png,释怀仁集王羲之,行,偈,55,7,6867
final_images/242757.png,鲜于枢,草,停,111,9,3953
final_images/242800.png,篆刻,篆,偶,158,0,2292
final_images/243090.png,吴昌硕,篆,像,66,0,7511
final_images/243345.png,篆刻,篆,兀,158,0,7652
final_images/243526.png,武则天,草,充,163,9,2548
final_images/244106.png,孙过庭,草,內,59,9,3259
final_images/244826.png,篆刻,篆,兹,158,0,2407
final_images/244963.png,金文,篆,内,263,0,4450
final_images/245628.png,碑刻,楷,凶,97,3,2054
final_images/245862.png,篆刻,篆,分,158,0,6129
final_images/245874.png,王羲之,草,分,26,9,6129
final_images/246012.png,刘炟,草,列,578,9,1467
final_images/246175.png,others,隶,利,10,6,7202
final_images/246941.png,陆柬之,行,勁,206,7,6571
final_images/247057.png,徐三庚,篆,動,363,0,7070
final_images/247191.png,篆刻,篆,勤,158,0,6698
final_images/247212.png,李邕,楷,勳,68,3,884
final_images/247214.png,others,楷,勳,10,3,884
final_images/247253.png,古文四声韵,篆,勺,4,0,2044
final_images/247470.png,郑道昭,楷,化,118,3,4282
final_images/247582.png,篆刻,篆,匚,158,0,7401
final_images/247588.png,赵孟𫖯,草,匜,75,9,1099
final_images/247616.png,others,楷,匡,10,3,5274
final_images/247804.png,汗简,篆,十,9,0,5586
final_images/247932.png,篆刻,篆,卅,158,0,3733
final_images/247978.png,集篆古文韵海,篆,升,15,0,5806
final_images/248309.png,篆刻,篆,博,158,0,5325
final_images/248613.png,邓琰,篆,危,45,0,1405
final_images/248990.png,郑簠,隶,原,267,6,787
final_images/249046.png,集篆古文韵海,篆,厨,15,0,5522
final_images/249506.png,莫友芝,篆,及,299,0,2651
final_images/249606.png,康里巎巎,草,反,231,9,3356
final_images/249611.png,陆柬之,行,反,206,7,3356
final_images/249817.png,others,隶,受,10,6,5158
final_images/249934.png,王羲之,草,口,26,9,6516
final_images/250029.png,others,隶,古,10,6,1141
final_images/250103.png,others,隶,叩,10,6,3649
final_images/250117.png,集篆古文韵海,篆,只,15,0,6359
final_images/250577.png,朱耷,行,吁,155,7,3296
final_images/250683.png,高闲,草,合,331,9,6040
final_images/251439.png,碑刻,隶,吴,97,6,6416
final_images/251673.png,文徵明,行,呉,110,7,5892
final_images/252251.png,皇象,草,哀,72,9,2741
final_images/252705.png,李邕,行,啟,68,7,835
final_images/252874.png,篆刻,篆,喜,158,0,565
final_images/252984.png,杨沂孙,篆,喬,70,0,7039
final_images/253006.png,集篆古文韵海,篆,單,15,0,1842
final_images/253555.png,others,篆,四,10,0,5881
final_images/253742.png,篆刻,篆,固,158,0,2916
final_images/253962.png,柳公权,楷,團,145,3,2252
final_images/254357.png,篆刻,篆,坪,158,0,4843
final_images/254398.png,篆刻,篆,垂,158,0,4296
final_images/254434.png,古文四声韵,篆,垕,4,0,7354
final_images/254707.png,others,隶,堂,10,6,2586
final_images/254951.png,others,楷,塵,10,3,7004
final_images/254997.png,碑刻,隶,墅,97,6,4984
final_images/256089.png,三体石经,篆,大,87,0,6988
final_images/256096.png,桓温,草,大,720,9,6988
final_images/256266.png,古文四声韵,篆,天,4,0,5380
final_images/256309.png,others,隶,天,10,6,5380
final_images/256477.png,集古文韵上声韵第三,篆,夭,0,0,351
final_images/256565.png,苏轼,行,夲,43,7,2016
final_images/256691.png,篆刻,篆,奇,158,0,4545
final_images/256855.png,倪元璐,草,奔,659,9,7247
final_images/256869.png,孙过庭,草,奕,59,9,2170
final_images/257224.png,篆刻,篆,好,158,0,897
final_images/257254.png,韩择木,隶,好,300,6,897
final_images/257367.png,黄庭坚,草,妆,128,9,2386
final_images/257400.png,唐,楷,妍,165,3,6351
final_images/257539.png,王羲之,行,妹,26,7,1894
final_images/257781.png,唐,楷,姚,165,3,7758
final_images/257964.png,颜真卿,楷,威,77,3,2113
final_images/258124.png,篆刻,篆,婚,158,0,1196
final_images/258353.png,篆刻,篆,嬉,158,0,7715
final_images/258627.png,others,隶,孔,10,6,911
final_images/258715.png,others,隶,存,10,6,6608
final_images/258818.png,篆刻,篆,孟,158,0,1217
final_images/259076.png,集篆古文韵海,篆,孴,15,0,4546
final_images/259122.png,睡虎地简牍,隶,學,200,6,4305
final_images/259167.png,碑刻,隶,宁,97,6,5086
final_images/259320.png,李阳冰,篆,守,46,0,442
final_images/259485.png,何绍基,隶,完,6,6,4156
